AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,TimeInShelterDays,AgeInDays,TimeInShelterDays_log
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Normal,36,28,3.6109179126442243
Cat,Domestic Shorthair Mix,Lilac Point/White,Intact Female,Stray,Normal,4,60,1.6094379124341003
Dog,German Shepherd Mix,Sable,Intact Female,Stray,Normal,15,1460,2.772588722239781
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Nursing,74,1,4.31748811353631
Cat,Domestic Shorthair,Brown Tabby,Intact Male,Stray,Sick,37,730,3.6375861597263857
Cat,Domestic Shorthair Mix,Blue Tabby/Tan,Intact Female,Stray,Normal,38,28,3.6635616461296463
Dog,Dachshund Mix,Tan/White,Intact Female,Stray,Normal,4,60,1.6094379124341003
Dog,Catahoula Mix,White/Tan,Neutered Male,Owner Surrender,Normal,56,1460,4.04305126783455
Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,Owner Surrender,Normal,2,365,1.0986122886681098
Dog,Border Collie Mix,Black/White,Intact Female,Owner Surrender,Normal,38,365,3.6635616461296463
Dog,Staffordshire/Plott Hound,Brown Brindle,Neutered Male,Public Assist,Normal,171,1460,5.147494476813453
Cat,Domestic Shorthair Mix,Seal Point,Intact Male,Stray,Normal,68,0,4.23410650459726
Dog,Chihuahua Shorthair Mix,Cream,Intact Male,Stray,Normal,6,365,1.9459101490553132
Cat,Domestic Longhair Mix,Black/White,Neutered Male,Stray,Normal,26,3650,3.295836866004329
Dog,Australian Cattle Dog Mix,Black/Tricolor,Intact Male,Owner Surrender,Normal,42,365,3.7612001156935624
Dog,Basenji Mix,Tricolor,Spayed Female,Owner Surrender,Normal,6,730,1.9459101490553132
Cat,Domestic Shorthair,Black/White,Intact Male,Owner Surrender,Normal,14,120,2.70805020110221
Dog,Plott Hound Mix,White/Black,Intact Male,Stray,Normal,4,60,1.6094379124341003
Dog,Boxer/Labrador Retriever,Black/White,Spayed Female,Owner Surrender,Normal,106,365,4.672828834461906
Dog,Labrador Retriever/Whippet,Black/Tricolor,Intact Male,Stray,Normal,7,365,2.0794415416798357
Dog,Pit Bull Mix,Blue/White,Intact Male,Stray,Normal,177,365,5.181783550292085
Dog,Pit Bull Mix,Blue/White,Intact Male,Stray,Normal,72,365,4.290459441148391
Dog,Cairn Terrier Mix,Tan/Black,Intact Female,Stray,Normal,60,365,4.110873864173311
Dog,Cairn Terrier Mix,Tan/Black,Intact Female,Stray,Normal,4,365,1.6094379124341003
Cat,Domestic Medium Hair Mix,Black/White,Intact Male,Stray,Normal,8,60,2.1972245773362196
Cat,Domestic Shorthair Mix,Black,Spayed Female,Stray,Injured,93,730,4.543294782270004
Cat,Domestic Shorthair Mix,Orange Tabby,Intact Female,Stray,Normal,5,30,1.791759469228055
Dog,Border Collie Mix,Chocolate/White,Intact Female,Stray,Normal,24,180,3.2188758248682006
Dog,Labrador Retriever Mix,Chocolate,Intact Male,Stray,Sick,26,270,3.295836866004329
Dog,Pit Bull Mix,Brown Brindle/White,Intact Female,Stray,Normal,9,730,2.302585092994046
Dog,Australian Kelpie Mix,Tan/White,Intact Female,Stray,Normal,4,90,1.6094379124341003
Cat,Siamese Mix,Lynx Point,Intact Male,Stray,Normal,10,180,2.3978952727983707
Cat,Siamese Mix,Lynx Point,Intact Male,Stray,Normal,5,180,1.791759469228055
Dog,Border Collie/Labrador Retriever,White/Black,Intact Male,Owner Surrender,Normal,49,1825,3.912023005428146
Dog,Border Collie/Labrador Retriever,White/Black,Intact Male,Owner Surrender,Normal,48,1825,3.8918202981106265
Dog,Pit Bull,Brown,Intact Male,Public Assist,Injured,23,180,3.1780538303479458
Cat,Domestic Medium Hair,Black,Spayed Female,Owner Surrender,Normal,79,1460,4.382026634673881
Dog,Pit Bull Mix,Brown Brindle/White,Intact Male,Public Assist,Other,53,365,3.9889840465642745
Cat,Domestic Shorthair,Brown Tabby,Intact Male,Stray,Normal,9,30,2.302585092994046
Cat,Siamese Mix,Lynx Point,Intact Female,Stray,Normal,24,28,3.2188758248682006
Dog,Plott Hound Mix,Chocolate/White,Intact Male,Stray,Normal,4,150,1.6094379124341003
Dog,Plott Hound Mix,Chocolate/White,Intact Male,Stray,Normal,5,150,1.791759469228055
Cat,Siamese Mix,Lynx Point,Intact Female,Stray,Nursing,108,14,4.6913478822291435
Dog,Border Collie/Bull Terrier,Black/White,Intact Male,Stray,Normal,7,240,2.0794415416798357
Dog,Border Collie/Bull Terrier,Black/White,Intact Male,Stray,Normal,335,240,5.817111159963204
Dog,Chihuahua Shorthair Mix,White/Brown,Spayed Female,Stray,Normal,346,730,5.849324779946859
Dog,Cairn Terrier,Brown,Intact Male,Stray,Normal,4,210,1.6094379124341003
Cat,Domestic Shorthair Mix,Black,Intact Female,Stray,Normal,78,21,4.3694478524670215
Dog,Chihuahua Shorthair Mix,Brown/Black,Intact Female,Stray,Normal,6,270,1.9459101490553132
Dog,Catahoula Mix,Brown Merle/White,Intact Male,Owner Surrender,Normal,8,1095,2.1972245773362196
Dog,Great Pyrenees Mix,White,Intact Male,Stray,Normal,8,2190,2.1972245773362196
Dog,Staffordshire Mix,Chocolate,Neutered Male,Stray,Normal,208,1460,5.342334251964811
Cat,Domestic Shorthair Mix,Blue,Intact Male,Owner Surrender,Normal,20,30,3.044522437723423
Cat,Domestic Shorthair Mix,Brown Tabby,Neutered Male,Owner Surrender,Normal,168,1095,5.1298987149230735
Dog,Pointer Mix,Black,Spayed Female,Owner Surrender,Normal,5,730,1.791759469228055
Cat,Domestic Shorthair,Calico,Intact Female,Owner Surrender,Normal,18,120,2.9444389791664403
Dog,Plott Hound Mix,Brown Brindle/White,Spayed Female,Owner Surrender,Normal,1,60,0.6931471805599453
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Normal,71,28,4.276666119016055
Cat,Domestic Shorthair Mix,White/Cream,Neutered Male,Stray,Injured,17,2920,2.8903717578961645
Cat,Domestic Medium Hair,Black,Intact Male,Stray,Normal,51,2920,3.9512437185814275
Dog,Staffordshire Mix,Black,Intact Female,Stray,Normal,21,365,3.091042453358316
Cat,Domestic Shorthair,Brown Tabby,Intact Male,Stray,Normal,43,30,3.784189633918261
Dog,Yorkshire Terrier,Red/Black,Neutered Male,Owner Surrender,Other,4,2920,1.6094379124341003
Dog,Black Mouth Cur Mix,Red/Black,Neutered Male,Owner Surrender,Normal,175,730,5.170483995038151
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Owner Surrender,Normal,21,30,3.091042453358316
Dog,Pit Bull Mix,Black/White,Intact Male,Stray,Normal,4,365,1.6094379124341003
Cat,Domestic Shorthair Mix,Black,Intact Male,Owner Surrender,Normal,24,60,3.2188758248682006
Cat,Domestic Medium Hair Mix,Blue Tabby,Intact Female,Stray,Normal,4,60,1.6094379124341003
Dog,Dachshund Longhair/Cardigan Welsh Corgi,Red,Spayed Female,Public Assist,Normal,15,1460,2.772588722239781
Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,Stray,Normal,13,60,2.6390573296152584
Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,Stray,Normal,18,60,2.9444389791664403
Dog,American Pit Bull Terrier Mix,Blue/White,Intact Female,Stray,Normal,5,60,1.791759469228055
Dog,Bearded Collie Mix,Black/White,Intact Male,Stray,Normal,16,300,2.833213344056216
Dog,Chihuahua Shorthair Mix,Black/Tan,Neutered Male,Owner Surrender,Normal,37,3650,3.6375861597263857
Cat,Domestic Shorthair Mix,Calico,Intact Female,Stray,Normal,23,30,3.1780538303479458
Dog,Labrador Retriever Mix,Black/White,Spayed Female,Owner Surrender,Normal,1,365,0.6931471805599453
Cat,Domestic Shorthair Mix,Blue Tabby/White,Intact Female,Stray,Normal,29,30,3.4011973816621555
Cat,Domestic Shorthair Mix,Chocolate Point,Intact Female,Stray,Normal,43,28,3.784189633918261
Dog,Siberian Husky,Black/Gray,Intact Male,Stray,Normal,7,730,2.0794415416798357
Dog,Labrador Retriever Mix,Black,Spayed Female,Stray,Normal,46,365,3.8501476017100584
Dog,German Shepherd Mix,Black/White,Spayed Female,Owner Surrender,Normal,3,365,1.3862943611198906
Dog,Pit Bull Mix,Black/White,Intact Male,Owner Surrender,Normal,4,30,1.6094379124341003
Cat,Domestic Shorthair Mix,Blue Tabby,Neutered Male,Owner Surrender,Normal,4,300,1.6094379124341003
Dog,Rottweiler/English Coonhound,Black/Tricolor,Intact Female,Stray,Normal,4,60,1.6094379124341003
Cat,Domestic Shorthair Mix,Brown Tabby/White,Spayed Female,Owner Surrender,Normal,9,2190,2.302585092994046
Cat,Domestic Shorthair Mix,Brown Tabby/White,Spayed Female,Owner Surrender,Normal,3,60,1.3862943611198906
Dog,Labrador Retriever,Black/White,Intact Male,Public Assist,Normal,10,120,2.3978952727983707
Cat,Domestic Shorthair,Black,Spayed Female,Owner Surrender,Normal,3,60,1.3862943611198906
Cat,Domestic Shorthair Mix,Black/White,Intact Female,Stray,Normal,71,90,4.276666119016055
Cat,Domestic Shorthair,Cream Tabby/White,Intact Male,Owner Surrender,Normal,19,120,2.995732273553991
Dog,Australian Cattle Dog Mix,Tan,Intact Male,Stray,Normal,14,730,2.70805020110221
Dog,Australian Cattle Dog Mix,Tan,Intact Male,Stray,Normal,321,730,5.7745515455444085
Cat,Domestic Shorthair,Brown Tabby,Intact Male,Stray,Normal,20,30,3.044522437723423
Dog,Pit Bull,White,Intact Female,Stray,Normal,6,180,1.9459101490553132
Cat,Domestic Shorthair Mix,Blue/White,Neutered Male,Owner Surrender,Normal,30,90,3.4339872044851463
Cat,Siamese Mix,Flame Point,Spayed Female,Owner Surrender,Normal,6,1095,1.9459101490553132
Dog,Labrador Retriever Mix,Black/White,Intact Female,Public Assist,Normal,23,150,3.1780538303479458
Cat,Domestic Longhair,Orange Tabby/White,Spayed Female,Owner Surrender,Normal,1,60,0.6931471805599453
Dog,German Shepherd Mix,Brown/Black,Spayed Female,Owner Surrender,Normal,7,365,2.0794415416798357
Dog,Chihuahua Shorthair/Miniature Pinscher,Yellow/White,Neutered Male,Owner Surrender,Sick,182,365,5.209486152841421
Other,Havana Mix,Black,Intact Male,Stray,Normal,28,365,3.367295829986474
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Normal,17,90,2.8903717578961645
Bird,Duck,Yellow,Unknown,Stray,Normal,3,210,1.3862943611198906
Dog,Labrador Retriever Mix,Black/White,Intact Female,Stray,Normal,5,120,1.791759469228055
Dog,Labrador Retriever Mix,Buff,Neutered Male,Owner Surrender,Normal,6,1095,1.9459101490553132
Cat,Domestic Shorthair Mix,Tortie,Intact Female,Stray,Normal,47,21,3.871201010907891
Other,Rabbit Sh Mix,White/Orange,Intact Male,Stray,Normal,21,365,3.091042453358316
Cat,Domestic Longhair Mix,Calico/White,Spayed Female,Stray,Normal,11,730,2.4849066497880004
Dog,Blue Lacy/Pit Bull,Blue/White,Intact Female,Stray,Normal,7,150,2.0794415416798357
Dog,Chihuahua Shorthair Mix,Brown,Neutered Male,Stray,Normal,10,730,2.3978952727983707
Dog,Chihuahua Shorthair Mix,Brown,Neutered Male,Stray,Normal,58,730,4.07753744390572
Dog,Border Collie Mix,Brown Brindle/White,Intact Female,Stray,Nursing,18,30,2.9444389791664403
Other,Rat,White,Intact Female,Owner Surrender,Normal,7,90,2.0794415416798357
Cat,Domestic Shorthair Mix,Blue Tabby/White,Intact Male,Stray,Normal,27,28,3.332204510175204
Dog,Cairn Terrier Mix,Tan,Intact Male,Stray,Normal,5,30,1.791759469228055
Dog,Miniature Schnauzer Mix,Black,Intact Male,Stray,Normal,6,300,1.9459101490553132
Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,Stray,Normal,15,30,2.772588722239781
Dog,Labrador Retriever Mix,Black,Intact Male,Stray,Normal,3,150,1.3862943611198906
Cat,Domestic Shorthair Mix,Blue/White,Intact Female,Stray,Normal,99,21,4.605170185988092
Cat,Domestic Shorthair Mix,Torbie/White,Intact Female,Stray,Normal,5,30,1.791759469228055
Cat,Domestic Shorthair Mix,Black,Intact Female,Stray,Normal,65,60,4.189654742026425
Cat,Domestic Shorthair Mix,Black,Neutered Male,Owner Surrender,Normal,4,1825,1.6094379124341003
Other,Lop-Holland,Black,Intact Male,Stray,Normal,29,365,3.4011973816621555
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Normal,49,28,3.912023005428146
Dog,Siberian Husky Mix,Gray/White,Intact Female,Owner Surrender,Normal,66,365,4.204692619390966
Dog,Siberian Husky Mix,Gray/White,Intact Female,Owner Surrender,Normal,8,365,2.1972245773362196
Dog,Labrador Retriever Mix,Brown/White,Intact Male,Stray,Normal,4,120,1.6094379124341003
Dog,Jack Russell Terrier,Black/White,Intact Male,Stray,Normal,7,120,2.0794415416798357
Cat,Domestic Shorthair,Black/White,Intact Male,Stray,Normal,41,30,3.7376696182833684
Dog,Labrador Retriever Mix,Cream,Intact Male,Stray,Normal,13,365,2.6390573296152584
Cat,Domestic Shorthair Mix,Gray,Intact Male,Stray,Normal,4,60,1.6094379124341003
Dog,Yorkshire Terrier Mix,Tan/Black,Intact Male,Stray,Normal,5,60,1.791759469228055
Dog,Pit Bull Mix,Black/White,Intact Male,Stray,Normal,9,1095,2.302585092994046
Dog,Pit Bull Mix,Black/White,Intact Male,Stray,Normal,47,1095,3.871201010907891
Dog,Labrador Retriever/Labrador Retriever,Black/White,Spayed Female,Owner Surrender,Normal,23,730,3.1780538303479458
Cat,Domestic Shorthair Mix,Brown Tabby,Spayed Female,Owner Surrender,Normal,10,730,2.3978952727983707
Cat,Domestic Shorthair Mix,Black/White,Intact Female,Stray,Normal,14,365,2.70805020110221
Dog,Pit Bull/Labrador Retriever,Black/White,Intact Female,Stray,Normal,18,150,2.9444389791664403
Cat,Domestic Shorthair Mix,White/Orange Tabby,Intact Female,Stray,Normal,34,21,3.5553480614894135
Dog,Miniature Poodle Mix,White/Black,Intact Male,Stray,Normal,4,365,1.6094379124341003
Dog,Labrador Retriever Mix,Yellow,Spayed Female,Stray,Normal,98,730,4.59511985013459
Dog,Staffordshire Mix,Blue/White,Intact Male,Stray,Normal,151,210,5.0238805208462765
Dog,Staffordshire Mix,Blue/White,Intact Male,Stray,Normal,206,210,5.332718793265369
Cat,Siamese/Japanese Bobtail,Seal Point,Intact Male,Stray,Normal,5,120,1.791759469228055
Dog,Chihuahua Shorthair Mix,Black/Brown,Intact Male,Stray,Normal,25,365,3.258096538021482
Dog,Pit Bull Mix,Brown Brindle/White,Intact Female,Stray,Normal,5,60,1.791759469228055
Dog,Pit Bull Mix,Chocolate/White,Intact Female,Stray,Normal,3,120,1.3862943611198906
Cat,Domestic Shorthair,Torbie,Intact Female,Stray,Normal,6,60,1.9459101490553132
Dog,Pit Bull Mix,White,Intact Female,Stray,Normal,5,365,1.791759469228055
Dog,Queensland Heeler Mix,Red,Spayed Female,Owner Surrender,Normal,3,300,1.3862943611198906
Dog,Labrador Retriever Mix,Chocolate/White,Intact Female,Stray,Normal,10,120,2.3978952727983707
Cat,Domestic Shorthair,White/Gray,Intact Female,Abandoned,Normal,71,21,4.276666119016055
Cat,Domestic Shorthair Mix,Black,Intact Male,Owner Surrender,Normal,6,90,1.9459101490553132
Cat,Domestic Shorthair Mix,Black,Intact Male,Owner Surrender,Normal,13,90,2.6390573296152584
Cat,Domestic Shorthair Mix,Blue Tabby,Neutered Male,Owner Surrender,Normal,40,3650,3.713572066704308
Dog,Plott Hound Mix,Brown Brindle/White,Neutered Male,Owner Surrender,Normal,131,300,4.882801922586371
Dog,Plott Hound Mix,Brown Brindle/White,Neutered Male,Owner Surrender,Normal,1,300,0.6931471805599453
Dog,Plott Hound Mix,Brown Brindle/White,Neutered Male,Owner Surrender,Normal,65,300,4.189654742026425
Dog,Labrador Retriever Mix,Tricolor,Intact Female,Stray,Normal,4,60,1.6094379124341003
Cat,Domestic Shorthair Mix,Black,Intact Female,Stray,Normal,52,21,3.970291913552122
Cat,Domestic Shorthair Mix,Tortie,Intact Female,Stray,Normal,91,270,4.5217885770490405
Dog,Labrador Retriever Mix,Sable,Intact Male,Owner Surrender,Normal,1,210,0.6931471805599453
Dog,Beagle Mix,Cream/White,Intact Female,Stray,Normal,10,730,2.3978952727983707
Dog,Queensland Heeler Mix,Black/Tan,Neutered Male,Public Assist,Normal,27,1825,3.332204510175204
Dog,Queensland Heeler Mix,Black/Tan,Neutered Male,Public Assist,Normal,83,1825,4.430816798843313
Cat,Domestic Shorthair Mix,Torbie,Intact Female,Stray,Normal,47,30,3.871201010907891
Cat,Domestic Medium Hair Mix,Black/White,Intact Female,Stray,Normal,24,60,3.2188758248682006
Dog,German Shepherd Mix,Brown,Intact Female,Stray,Normal,71,365,4.276666119016055
Cat,Domestic Shorthair Mix,Black/White,Intact Female,Stray,Normal,34,30,3.5553480614894135
Dog,Jack Russell Terrier/Pembroke Welsh Corgi,White/Tan,Intact Male,Stray,Normal,4,30,1.6094379124341003
Dog,Labrador Retriever Mix,Black,Intact Female,Owner Surrender,Normal,118,2190,4.77912349311153
Dog,Labrador Retriever Mix,Black/White,Intact Female,Stray,Normal,98,90,4.59511985013459
Cat,Manx Mix,Brown Tabby,Spayed Female,Owner Surrender,Normal,48,150,3.8918202981106265
Dog,Chihuahua Shorthair,Brown/Tan,Intact Female,Owner Surrender,Normal,11,1825,2.4849066497880004
Dog,Dachshund/Chihuahua Shorthair,Cream,Intact Male,Stray,Normal,10,730,2.3978952727983707
Cat,Domestic Shorthair,Blue/White,Intact Female,Stray,Normal,48,120,3.8918202981106265
Dog,Labrador Retriever Mix,Tan/White,Spayed Female,Owner Surrender,Normal,5,330,1.791759469228055
Dog,Labrador Retriever Mix,Black,Spayed Female,Stray,Normal,83,2555,4.430816798843313
Dog,Pit Bull Mix,Brown Brindle/White,Intact Male,Stray,Normal,76,365,4.343805421853684
Dog,Pit Bull Mix,Brown Brindle/White,Intact Male,Stray,Normal,26,365,3.295836866004329
Dog,Standard Schnauzer Mix,Black/White,Intact Male,Stray,Normal,4,150,1.6094379124341003
Dog,Chihuahua Shorthair Mix,Brown/White,Intact Female,Owner Surrender,Normal,1,60,0.6931471805599453
Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,Stray,Normal,21,210,3.091042453358316
Dog,Labrador Retriever Mix,Black/Black,Intact Female,Stray,Normal,9,730,2.302585092994046
Dog,Redbone Hound Mix,Red/White,Intact Male,Stray,Normal,5,365,1.791759469228055
Cat,Domestic Shorthair Mix,Black/White,Intact Male,Stray,Sick,44,21,3.8066624897703196
Dog,Labrador Retriever/Basset Hound,Yellow/White,Neutered Male,Owner Surrender,Normal,9,1825,2.302585092994046
Cat,Domestic Shorthair Mix,Brown Tabby,Spayed Female,Owner Surrender,Normal,45,3285,3.828641396489095
Cat,Domestic Shorthair Mix,Brown Tabby,Spayed Female,Owner Surrender,Normal,28,3285,3.367295829986474
Dog,Shetland Sheepdog Mix,Brown/Black,Intact Female,Stray,Normal,6,210,1.9459101490553132
Cat,Domestic Shorthair,Brown Tabby,Intact Female,Owner Surrender,Normal,36,300,3.6109179126442243
Dog,German Shepherd/Labrador Retriever,Tan/White,Intact Male,Public Assist,Normal,200,240,5.303304908059076
Cat,Domestic Shorthair Mix,White/Orange Tabby,Neutered Male,Stray,Normal,7,730,2.0794415416798357
Cat,Domestic Shorthair,Calico,Spayed Female,Stray,Sick,57,2555,4.060443010546419
Dog,Dachshund Longhair Mix,Cream,Spayed Female,Stray,Normal,4,1460,1.6094379124341003
Dog,Dachshund Longhair Mix,Cream,Spayed Female,Stray,Normal,31,1460,3.4657359027997265
Dog,Chihuahua Shorthair Mix,Black,Intact Female,Stray,Normal,14,30,2.70805020110221
Dog,Australian Cattle Dog Mix,Brown/White,Intact Female,Stray,Normal,82,60,4.418840607796598
Dog,Great Dane,Tan/White,Spayed Female,Stray,Normal,5,1095,1.791759469228055
Cat,Domestic Shorthair Mix,Calico,Intact Female,Stray,Normal,78,365,4.3694478524670215
Dog,Dachshund,Black/White,Intact Male,Stray,Normal,32,270,3.4965075614664802
Dog,Dachshund,Black/White,Intact Male,Stray,Normal,3,270,1.3862943611198906
Dog,German Shepherd,Cream/White,Intact Female,Stray,Injured,20,60,3.044522437723423
Dog,Australian Cattle Dog Mix,Brown,Intact Male,Stray,Normal,4,150,1.6094379124341003
Dog,Australian Cattle Dog Mix,Brown,Intact Male,Stray,Normal,115,150,4.7535901911063645
Cat,Domestic Shorthair,Brown Tabby,Intact Male,Owner Surrender,Normal,70,30,4.2626798770413155
Cat,Domestic Shorthair,White/Blue,Neutered Male,Stray,Sick,148,3285,5.003946305945459
Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,Stray,Normal,54,21,4.007333185232471
Dog,Rat Terrier Mix,White/Tan,Intact Male,Stray,Normal,6,1095,1.9459101490553132
Dog,Miniature Pinscher Mix,Black/Brown,Spayed Female,Stray,Normal,6,1460,1.9459101490553132
Dog,Pit Bull Mix,White/Black,Neutered Male,Owner Surrender,Normal,81,1825,4.406719247264253
Dog,Swedish Vallhund,Sable/Cream,Intact Female,Stray,Normal,6,1460,1.9459101490553132
Dog,Maltese/Miniature Poodle,Tan,Intact Male,Stray,Normal,4,365,1.6094379124341003
Dog,American Pit Bull Terrier,Tricolor,Intact Male,Stray,Normal,18,730,2.9444389791664403
Cat,Domestic Shorthair Mix,Blue,Neutered Male,Owner Surrender,Normal,6,1095,1.9459101490553132
Cat,Domestic Shorthair Mix,Brown Tabby/White,Neutered Male,Stray,Normal,4,730,1.6094379124341003
Dog,Pit Bull Mix,Brown,Intact Male,Stray,Normal,51,1095,3.9512437185814275
Cat,Domestic Shorthair Mix,Gray Tabby,Intact Female,Stray,Normal,5,365,1.791759469228055
Dog,Black Mouth Cur Mix,Fawn/White,Spayed Female,Owner Surrender,Normal,108,2190,4.6913478822291435
Dog,Chihuahua Shorthair Mix,Chocolate/White,Spayed Female,Stray,Normal,291,3650,5.676753802268282
Dog,Pointer/Basenji,White/Blue Merle,Intact Male,Stray,Normal,25,90,3.258096538021482
Dog,Pointer/Basenji,White/Blue Merle,Intact Male,Stray,Normal,13,90,2.6390573296152584
Dog,Boston Terrier Mix,Brown/White,Neutered Male,Owner Surrender,Normal,18,730,2.9444389791664403
Dog,Pit Bull Mix,Brown Brindle/White,Intact Male,Stray,Normal,151,730,5.0238805208462765
Dog,Pointer Mix,White/Black,Spayed Female,Owner Surrender,Normal,84,270,4.442651256490317
Dog,Pointer Mix,White/Black,Spayed Female,Owner Surrender,Normal,5,270,1.791759469228055
Cat,Domestic Medium Hair Mix,Black,Intact Female,Stray,Normal,109,21,4.700480365792417
Cat,Domestic Shorthair,Orange Tabby,Intact Male,Owner Surrender,Normal,156,210,5.056245805348308
Cat,Domestic Medium Hair Mix,Brown Tabby/White,Intact Female,Stray,Normal,41,30,3.7376696182833684
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Normal,34,30,3.5553480614894135
Cat,Siamese Mix,Seal Point,Intact Male,Stray,Normal,45,28,3.828641396489095
Cat,Domestic Shorthair Mix,Tortie,Intact Female,Stray,Normal,102,1095,4.634728988229636
Cat,Domestic Shorthair Mix,Black,Intact Female,Stray,Normal,10,30,2.3978952727983707
Dog,Collie Smooth/Labrador Retriever,Sable/White,Spayed Female,Owner Surrender,Normal,4,1095,1.6094379124341003
Dog,Pit Bull,Blue/White,Intact Male,Stray,Normal,8,330,2.1972245773362196
Dog,Rottweiler Mix,Black/Tan,Neutered Male,Owner Surrender,Normal,11,365,2.4849066497880004
Dog,Beagle/Labrador Retriever,Black/White,Intact Male,Stray,Normal,8,365,2.1972245773362196
Dog,Labrador Retriever Mix,Yellow/White,Neutered Male,Owner Surrender,Normal,1,60,0.6931471805599453
Dog,Pit Bull Mix,Fawn/White,Spayed Female,Owner Surrender,Normal,37,730,3.6375861597263857
Cat,Domestic Shorthair Mix,Torbie,Intact Female,Stray,Normal,88,90,4.48863636973214
Dog,German Shepherd Mix,Black/Brown,Intact Female,Stray,Normal,32,28,3.4965075614664802
Cat,Domestic Shorthair,Cream Tabby,Intact Male,Stray,Normal,78,28,4.3694478524670215
Cat,Domestic Shorthair Mix,Blue Tabby,Neutered Male,Owner Surrender,Normal,12,1095,2.5649493574615367
Dog,Pit Bull Mix,Tan/White,Neutered Male,Public Assist,Sick,64,2555,4.174387269895637
Dog,Kuvasz Mix,White,Intact Male,Stray,Normal,7,730,2.0794415416798357
Cat,Domestic Shorthair,Blue Tabby,Intact Female,Stray,Normal,53,60,3.9889840465642745
Cat,Domestic Shorthair Mix,Black,Intact Female,Stray,Normal,50,28,3.9318256327243257
Dog,German Shepherd Mix,White/Cream,Intact Male,Stray,Normal,11,365,2.4849066497880004
Dog,Australian Shepherd/Great Pyrenees,White/Tan,Intact Male,Stray,Normal,57,365,4.060443010546419
Dog,Pit Bull Mix,White/Black,Neutered Male,Owner Surrender,Sick,19,180,2.995732273553991
Cat,Domestic Shorthair Mix,Orange Tabby/White,Intact Male,Stray,Normal,22,28,3.1354942159291497
Cat,Domestic Shorthair Mix,Orange Tabby/White,Intact Male,Stray,Normal,43,28,3.784189633918261
Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,Stray,Normal,40,21,3.713572066704308
Dog,Labrador Retriever Mix,Brown,Intact Female,Stray,Normal,29,365,3.4011973816621555
Dog,Australian Cattle Dog Mix,Black/Brown,Neutered Male,Owner Surrender,Normal,37,730,3.6375861597263857
Dog,Chihuahua Shorthair Mix,Tan/Black,Neutered Male,Owner Surrender,Injured,112,730,4.727387818712341
Dog,Labrador Retriever Mix,Black/White,Neutered Male,Owner Surrender,Normal,2,60,1.0986122886681098
Cat,Domestic Shorthair Mix,Black,Intact Female,Stray,Normal,13,60,2.6390573296152584
Dog,Wire Hair Fox Terrier Mix,White/Black,Intact Male,Stray,Normal,4,1095,1.6094379124341003
Dog,Chihuahua Shorthair Mix,White,Intact Female,Stray,Normal,5,60,1.791759469228055
Dog,Labrador Retriever Mix,Black,Intact Female,Stray,Normal,24,60,3.2188758248682006
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Normal,30,30,3.4339872044851463
Dog,Doberman Pinsch Mix,Black/Brown,Intact Male,Stray,Normal,10,120,2.3978952727983707
Dog,Pit Bull Mix,Brown/White,Intact Male,Stray,Normal,51,730,3.9512437185814275
Dog,Cairn Terrier Mix,Tan,Intact Male,Stray,Normal,10,365,2.3978952727983707
Cat,Domestic Shorthair Mix,Brown Tabby/White,Neutered Male,Stray,Normal,28,365,3.367295829986474
Cat,Domestic Medium Hair,Orange Tabby,Intact Male,Stray,Normal,9,30,2.302585092994046
Cat,Domestic Shorthair,Black,Intact Female,Stray,Normal,40,30,3.713572066704308
Dog,Miniature Poodle Mix,White,Spayed Female,Owner Surrender,Normal,357,1825,5.8805329864007
Cat,Domestic Medium Hair Mix,Black,Intact Female,Stray,Nursing,54,14,4.007333185232471
Cat,Domestic Shorthair Mix,Tortie,Spayed Female,Owner Surrender,Normal,9,1460,2.302585092994046
Cat,Domestic Shorthair,Black,Intact Female,Stray,Normal,61,28,4.127134385045092
Cat,Domestic Shorthair,Black,Intact Female,Stray,Normal,117,28,4.770684624465665
Dog,Australian Shepherd Mix,Blue Merle/Tan,Intact Male,Stray,Normal,4,240,1.6094379124341003
Cat,Domestic Shorthair,White,Intact Female,Stray,Nursing,261,7,5.568344503761097
Cat,Domestic Medium Hair Mix,Brown Tabby/White,Intact Female,Stray,Normal,4,30,1.6094379124341003
Cat,Siamese Mix,Lynx Point,Intact Female,Stray,Normal,172,30,5.153291594497779
